"Timestamp","How would you rate INFO 101 in the following categories (1 = poor, 5 = great)? [Professor Availability]","How would you rate INFO 101 in the following categories (1 = poor, 5 = great)? [Skill Usability]","How would you rate INFO 101 in the following categories (1 = poor, 5 = great)? [Time Spent]","How would you rate INFO 101 in the following categories (1 = poor, 5 = great)? [Professor Engagement]","How would you rate INFO 101 in the following categories (1 = poor, 5 = great)? [Expectation Clarity]","How would you rate INFO 101 in the following categories (1 = poor, 5 = great)? [TA Responsiveness]","How would you rate INFO 102 in the following categories (1 = poor, 5 = great)? [Professor Availability]","How would you rate INFO 102 in the following categories (1 = poor, 5 = great)? [Skill Usability]","How would you rate INFO 102 in the following categories (1 = poor, 5 = great)? [Time Spent]","How would you rate INFO 102 in the following categories (1 = poor, 5 = great)? [Professor Engagement]","How would you rate INFO 102 in the following categories (1 = poor, 5 = great)? [Expectation Clarity]","How would you rate INFO 102 in the following categories (1 = poor, 5 = great)? [TA Responsiveness]","How would you rate INFO 180 in the following categories (1 = poor, 5 = great)? [Professor Availability]","How would you rate INFO 180 in the following categories (1 = poor, 5 = great)? [Skill Usability]","How would you rate INFO 180 in the following categories (1 = poor, 5 = great)? [Time Spent]","How would you rate INFO 180 in the following categories (1 = poor, 5 = great)? [Professor Engagement]","How would you rate INFO 180 in the following categories (1 = poor, 5 = great)? [Expectation Clarity]","How would you rate INFO 180 in the following categories (1 = poor, 5 = great)? [TA Responsiveness]","How would you rate INFO 200 in the following categories (1 = poor, 5 = great)? [Professor Availability]","How would you rate INFO 200 in the following categories (1 = poor, 5 = great)? [Skill Usability]","How would you rate INFO 200 in the following categories (1 = poor, 5 = great)? [Time Spent]","How would you rate INFO 200 in the following categories (1 = poor, 5 = great)? [Professor Engagement]","How would you rate INFO 200 in the following categories (1 = poor, 5 = great)? [Expectation Clarity]","How would you rate INFO 200 in the following categories (1 = poor, 5 = great)? [TA Responsiveness]","How would you rate INFO 201 in the following categories (1 = poor, 5 = great)? [Professor Availability]","How would you rate INFO 201 in the following categories (1 = poor, 5 = great)? [Skill Usability]","How would you rate INFO 201 in the following categories (1 = poor, 5 = great)? [Time Spent]","How would you rate INFO 201 in the following categories (1 = poor, 5 = great)? [Professor Engagement]","How would you rate INFO 201 in the following categories (1 = poor, 5 = great)? [Expectation Clarity]","How would you rate INFO 201 in the following categories (1 = poor, 5 = great)? [TA Responsiveness]","How would you rate INFO 300 in the following categories (1 = poor, 5 = great)? [Professor Availability]","How would you rate INFO 300 in the following categories (1 = poor, 5 = great)? [Skill Usability]","How would you rate INFO 300 in the following categories (1 = poor, 5 = great)? [Time Spent]","How would you rate INFO 300 in the following categories (1 = poor, 5 = great)? [Professor Engagement]","How would you rate INFO 300 in the following categories (1 = poor, 5 = great)? [Expectation Clarity]","How would you rate INFO 300 in the following categories (1 = poor, 5 = great)? [TA Responsiveness]","How would you rate INFO 310 in the following categories (1 = poor, 5 = great)? [Professor Availability]","How would you rate INFO 310 in the following categories (1 = poor, 5 = great)? [Skill Usability]","How would you rate INFO 310 in the following categories (1 = poor, 5 = great)? [Time Spent]","How would you rate INFO 310 in the following categories (1 = poor, 5 = great)? [Professor Engagement]","How would you rate INFO 310 in the following categories (1 = poor, 5 = great)? [Expectation Clarity]","How would you rate INFO 310 in the following categories (1 = poor, 5 = great)? [TA Responsiveness]","How would you rate INFO 330 in the following categories (1 = poor, 5 = great)? [Professor Availability]","How would you rate INFO 330 in the following categories (1 = poor, 5 = great)? [Skill Usability]","How would you rate INFO 330 in the following categories (1 = poor, 5 = great)? [Time Spent]","How would you rate INFO 330 in the following categories (1 = poor, 5 = great)? [Professor Engagement]","How would you rate INFO 330 in the following categories (1 = poor, 5 = great)? [Expectation Clarity]","How would you rate INFO 330 in the following categories (1 = poor, 5 = great)? [TA Responsiveness]","How would you rate INFO 340 in the following categories (1 = poor, 5 = great)? [Professor Availability]","How would you rate INFO 340 in the following categories (1 = poor, 5 = great)? [Skill Usability]","How would you rate INFO 340 in the following categories (1 = poor, 5 = great)? [Time Spent]","How would you rate INFO 340 in the following categories (1 = poor, 5 = great)? [Professor Engagement]","How would you rate INFO 340 in the following categories (1 = poor, 5 = great)? [Expectation Clarity]","How would you rate INFO 340 in the following categories (1 = poor, 5 = great)? [TA Responsiveness]","How would you rate INFO 360 in the following categories (1 = poor, 5 = great)? [Professor Availability]","How would you rate INFO 360 in the following categories (1 = poor, 5 = great)? [Skill Usability]","How would you rate INFO 360 in the following categories (1 = poor, 5 = great)? [Time Spent]","How would you rate INFO 360 in the following categories (1 = poor, 5 = great)? [Professor Engagement]","How would you rate INFO 360 in the following categories (1 = poor, 5 = great)? [Expectation Clarity]","How would you rate INFO 360 in the following categories (1 = poor, 5 = great)? [TA Responsiveness]","How would you rate INFO 370 in the following categories (1 = poor, 5 = great)? [Professor Availability]","How would you rate INFO 370 in the following categories (1 = poor, 5 = great)? [Skill Usability]","How would you rate INFO 370 in the following categories (1 = poor, 5 = great)? [Time Spent]","How would you rate INFO 370 in the following categories (1 = poor, 5 = great)? [Professor Engagement]","How would you rate INFO 370 in the following categories (1 = poor, 5 = great)? [Expectation Clarity]","How would you rate INFO 370 in the following categories (1 = poor, 5 = great)? [TA Responsiveness]","How would you rate INFO 481 in the following categories (1 = poor, 5 = great)? [Professor Availability]","How would you rate INFO 481 in the following categories (1 = poor, 5 = great)? [Skill Usability]","How would you rate INFO 481 in the following categories (1 = poor, 5 = great)? [Time Spent]","How would you rate INFO 481 in the following categories (1 = poor, 5 = great)? [Professor Engagement]","How would you rate INFO 481 in the following categories (1 = poor, 5 = great)? [Expectation Clarity]","How would you rate INFO 481 in the following categories (1 = poor, 5 = great)? [TA Responsiveness]"
"2018/10/15 5:44:23 PM MDT","","","","","","","","","","","","","","","","","","","5","5","3","5","2","3","5","5","4","5","5","5","5","3","3","4","4","5","","","","","","","5","5","5","5","4","4","5","5","4","4","3","4","5","5","3","5","5","3","5","5","4","5","5","5","","","","","",""
"2018/10/15 5:46:13 PM MDT","","","","","","","","","","","","","","","","","","","4","2","4","4","4","4","3","4","4","3","4","4","","","","","","","","","","","","","2","4","2","2","3","4","4","4","5","4","4","4","4","4","4","3","4","4","4","5","5","4","4","4","","","","","",""
"2018/10/15 5:50:42 PM MDT","","","","","","","","","","","","","","","","","","","4","4","4","4","4","4","5","5","5","5","5","4","3","3","3","4","4","3","5","4","4","4","3","4","4","5","3","2","2","2","5","5","4","5","4","4","3","3","3","4","3","3","5","5","5","5","5","5","5","3","3","4","3","3"
"2018/10/15 5:54:49 PM MDT","","","","","","","","","","","","","","","","","","","5","2","2","4","5","5","5","5","3","4","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","","","","","",""
"2018/10/15 5:54:52 PM MDT","","","","","","","","","","","","","","","","","","","3","1","4","3","5","5","3","5","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2018/10/15 5:55:02 PM MDT","","","","","","","","","","","","","","","","","","","5","3","5","5","5","4","4","4","4","4","4","4","","","","","","","","","","","","","5","3","4","4","3","4","","","","","","","","","","","","","4","5","5","5","5","5","","","","","",""
"2018/10/15 5:55:35 PM MDT","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","5","5","5","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2018/10/15 5:55:41 PM MDT","","","","","","","","","","","","","","","","","","","3","4","3","4","4","2","3","4","4","4","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","5","5","4","4","3","","","","","",""
"2018/10/15 5:55:43 PM MDT","3","3","4","4","4","4","5","4","1","4","4","4","","","","","","","3","3","4","3","3","3","1","1","5","1","1","1","","","","","","","","","","","","","3","4","4","3","3","3","","","","","","","","","","","","","3","4","4","3","3","3","","","","","",""
"2018/10/15 5:55:47 PM MDT","","","","","","","5","2","1","4","3","5","","","","","","","5","5","3","5","5","5","5","5","2","5","5","5","5","2","2","3","5","5","","","","","","","","","","","","","","","","","","","5","5","2","5","5","5","5","5","5","5","5","5","","","","","",""
"2018/10/15 5:55:52 PM MDT","","","","","","","","","","","","","","","","","","","4","2","3","5","4","5","5","5","4","5","4","5","","","","","","","","","","","","","","","","","","","4","5","4","3","5","5","","","","","","","5","5","3","5","4","4","","","","","",""
"2018/10/15 5:55:57 PM MDT","","","","","","","","","","","","","","","","","","","3","2","2","3","3","3","5","5","3","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","4","2","3","4","4","4","4","5","4","5","2","4","","","","","",""
"2018/10/15 5:56:00 PM MDT","3","2","3","3","4","4","","","","","","","","","","","","","4","3","3","5","4","4","4","4","4","4","4","4","3","2","3","3","3","3","","","","","","","3","4","3","3","4","4","4","5","4","4","4","3","3","2","2","3","3","3","4","4","4","4","4","4","","","","","",""
"2018/10/15 5:56:03 PM MDT","","","","","","","","","","","","","","","","","","","4","2","4","3","3","3","5","5","5","5","5","5","4","4","4","4","4","4","","","","","","","","","","","","","5","5","4","5","4","5","4","4","4","4","4","5","5","5","4","4","4","4","","","","","",""
"2018/10/15 5:56:04 PM MDT","","","","","","","4","1","3","2","1","2","","","","","","","5","4","4","5","4","4","5","5","3","5","4","4","","","","","","","","","","","","","3","5","3","4","4","3","5","5","5","5","4","4","4","5","3","5","4","3","5","5","4","5","5","4","","","","","",""
"2018/10/15 5:56:08 PM MDT","","","","","","","","","","","","","","","","","","","4","3","5","4","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","1","4","4","4","5","4","3","5","4","3","","","","","",""
"2018/10/15 5:56:14 PM MDT","1","3","3","3","2","3","5","2","3","3","3","4","","","","","","","4","5","5","5","3","3","5","4","5","4","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","5","3","3","5","","","","","",""
"2018/10/15 5:56:21 PM MDT","4","2","3","","4","4","","","","","","","","","","","","","4","4","4","4","2","4","3","4","4","4","4","4","3","2","3","3","2","3","","","","","","","4","5","5","4","4","4","3","4","4","3","3","4","3","2","3","3","2","3","4","4","4","4","4","4","2","2","3","2","2","4"
"2018/10/15 5:56:27 PM MDT","","","","","","","","","","","","","","","","","","","2","1","2","3","3","2","3","5","4","5","4","4","3","1","3","4","1","3","","","","","","","5","4","3","3","4","4","5","5","5","5","5","5","4","3","2","4","2","2","4","5","5","5","4","5","","","","","",""
"2018/10/15 5:56:28 PM MDT","5","4","3","4","4","5","","","","","","","","","","","","","4","4","3","4","4","4","4","5","4","5","4","5","3","2","1","2","1","4","","","","","","","4","4","3","4","3","2","4","4","3","4","4","5","","","","","","","","","","","","","","","","","",""
"2018/10/15 5:56:37 PM MDT","","","","","","","","","","","","","","","","","","","4","5","4","5","4","4","5","5","4","5","4","4","4","3","3","4","3","4","","","","","","","3","5","4","4","3","4","5","5","4","5","4","4","3","4","4","3","3","3","4","5","4","4","4","5","","","","","",""
"2018/10/15 5:56:53 PM MDT","","","","","","","","","","","","","","","","","","","4","4","3","5","4","4","5","4","4","5","5","5","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","","","","","","","5","5","5","5","3","5","","","","","",""
